Id,YearBuilt,YearRemodAdd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,MoSold,YrSold
406,1976,1993,1,0,2,0,3,1,8,1,1993,2,6,2009
407,1936,1950,0,0,1,0,3,1,6,0,1936,1,3,2008
408,1915,1976,0,0,2,0,4,1,8,0,1960,1,3,2008
409,2006,2006,0,0,2,1,3,1,9,1,2006,3,8,2007
410,2007,2008,1,0,2,1,3,1,8,1,2008,3,4,2008
411,1958,1958,0,0,1,0,3,1,5,0,1958,1,6,2009
412,1955,1955,1,0,1,0,3,1,5,0,1955,2,1,2006
413,2009,2009,1,0,2,1,2,1,7,1,2009,2,6,2010
414,1927,1950,0,0,1,0,2,1,5,1,1927,2,3,2010
415,1993,1993,0,1,2,1,3,1,9,1,1993,3,12,2008
416,2007,2007,0,0,2,0,3,1,6,0,2007,2,8,2007
417,1978,1978,0,0,1,1,3,1,6,1,1978,2,3,2006
418,1918,1950,1,0,2,1,4,1,10,1,1918,3,11,2007
419,1940,1950,1,0,1,1,3,1,7,0,1940,1,4,2007
420,1968,1968,1,0,1,0,3,1,6,1,1968,1,7,2010
421,1997,1998,2,0,2,0,2,2,8,0,1997,4,11,2008
422,1977,2000,0,1,2,0,3,1,8,1,1977,2,6,2009
423,1954,1954,0,0,1,0,2,1,4,0,1954,2,2,2008
424,1998,1998,1,0,2,1,4,1,8,1,1998,3,6,2008
425,1956,1956,1,0,1,0,2,1,6,1,1956,1,5,2008
426,1946,1992,0,0,1,1,3,1,6,2,1947,1,9,2009
427,1989,1989,1,1,2,0,2,1,5,1,1989,2,8,2009
428,1957,1957,0,0,1,0,3,1,5,0,1964,1,7,2008
429,2007,2007,1,0,2,0,2,1,6,0,2007,2,9,2007
430,1988,1988,1,0,2,0,3,1,6,1,1988,2,3,2009
431,1971,1971,0,0,1,1,2,1,4,0,1971,1,7,2008
432,1920,1998,0,0,1,0,4,1,7,0,NA,0,9,2008
433,1971,1971,1,0,1,1,2,1,6,0,1971,2,8,2007
434,1997,1998,0,0,2,1,3,1,7,1,1997,2,7,2008
435,1972,1972,1,0,1,0,1,1,3,0,NA,0,6,2008
436,1996,1996,1,0,2,1,3,1,6,1,1996,2,4,2009
437,1920,1950,0,0,1,0,2,1,6,0,1990,2,10,2006
438,1926,2004,0,0,1,0,2,1,4,0,1926,1,1,2009
439,1913,2002,0,0,1,0,2,1,4,1,1990,1,3,2007
440,1920,2000,0,0,1,0,3,1,7,0,2005,2,8,2009
441,2008,2008,1,0,2,0,2,1,10,2,2008,3,4,2009
442,1955,1955,0,0,2,0,4,2,8,0,NA,0,9,2008
443,1930,1992,0,0,2,0,3,1,8,1,1930,2,6,2008
444,2006,2007,0,0,2,0,2,1,6,1,2007,3,6,2007
445,1994,1995,1,0,2,1,4,1,8,1,1994,2,7,2008
446,1956,1956,0,0,1,0,3,1,7,1,1956,2,11,2009
447,1966,2002,0,0,2,1,2,1,6,1,1966,2,6,2010
448,1998,1999,0,0,2,1,4,1,10,1,1998,2,7,2006
449,1937,1950,0,0,2,0,3,1,7,1,1937,1,6,2006
450,1948,2002,0,0,1,1,2,1,6,0,1981,1,6,2007
451,1930,2005,0,0,1,0,2,1,5,0,1932,1,6,2006
452,1975,1975,1,0,2,0,2,1,5,2,1975,2,12,2006
453,1996,1997,1,0,2,1,3,1,7,0,1996,2,7,2007
454,2008,2008,0,0,2,1,3,1,6,0,2008,2,6,2009
455,1976,1976,2,0,2,0,4,2,8,0,1976,2,7,2006
456,1973,1973,0,0,1,1,3,1,6,1,1973,2,9,2007
457,1916,1950,0,0,1,0,4,1,7,0,1916,3,5,2008
458,1954,1994,1,0,1,0,2,1,6,2,1954,2,3,2008
459,1925,1996,0,0,1,0,3,1,7,1,1925,1,6,2008
460,1950,1950,1,0,1,0,3,1,5,1,1950,1,7,2009
461,2009,2009,1,0,2,1,3,1,8,0,2009,2,12,2009
462,1936,2007,1,0,1,0,3,1,6,0,1971,2,4,2009
463,1965,1965,0,0,1,0,3,1,5,1,1965,1,12,2009
464,1934,1995,0,0,1,1,3,1,6,1,1939,1,8,2008
465,1978,1978,0,0,2,0,3,1,5,0,NA,0,8,2009
466,2004,2004,0,0,2,0,2,1,6,1,2004,2,5,2006
467,1970,1970,1,0,1,0,2,1,5,1,1970,2,4,2007
468,1942,1995,0,0,1,1,3,1,7,2,1942,1,6,2007
469,2006,2006,0,0,2,0,3,1,7,1,2006,3,5,2007
470,1993,1993,0,0,2,1,3,1,7,0,1993,2,6,2008
471,1985,1985,1,0,1,1,1,1,4,0,1985,2,6,2010
472,1977,1977,0,0,2,1,3,1,8,1,1977,2,11,2007
473,2005,2005,1,0,1,0,2,1,5,0,2005,2,6,2008
474,2006,2007,1,0,2,0,2,1,7,1,2006,3,7,2007
475,2000,2000,1,0,2,0,2,1,6,0,2000,2,8,2007
476,1963,1963,1,0,1,0,2,1,5,0,1996,2,7,2007
477,1997,1998,1,0,2,0,3,1,7,1,1997,2,4,2008
478,2006,2006,0,0,2,1,3,1,9,1,2006,3,3,2007
479,2007,2008,1,0,2,0,3,1,7,1,2007,3,9,2009
480,1937,2000,0,0,1,0,2,1,7,0,1995,2,3,2007
481,2004,2005,1,0,2,0,3,1,8,1,2004,3,3,2006
482,2003,2004,1,0,2,0,2,1,6,1,2003,3,8,2006
483,1915,2005,1,0,1,1,4,1,7,1,1915,1,6,2009
484,1998,1998,1,0,2,0,2,1,5,0,1998,2,5,2006
485,1962,2001,1,0,1,0,3,1,6,0,1963,1,3,2007
486,1950,2007,0,0,1,0,3,1,5,1,1950,1,7,2009
487,1965,1965,1,0,1,1,3,1,6,0,1965,2,6,2007
488,1971,1971,0,0,2,0,3,1,7,1,1971,2,2,2007
489,1900,1970,0,0,2,0,3,2,10,1,1970,2,5,2006
490,1970,2002,1,0,1,0,1,1,3,0,1970,1,5,2009
491,1976,1976,0,0,1,1,3,1,4,1,1976,1,6,2008
492,1941,1950,1,0,1,0,3,1,5,2,1941,1,8,2006
493,2006,2006,0,0,2,1,3,1,8,0,2006,2,5,2006
494,1960,1960,0,0,1,1,3,1,6,1,1964,1,6,2008
495,1938,1996,0,0,1,0,2,1,4,0,1938,1,12,2009
496,1920,1950,0,0,1,0,2,1,4,0,NA,0,11,2009
497,1992,1993,1,0,3,0,4,1,10,1,1992,2,5,2007
498,1925,1950,1,0,2,0,4,1,8,0,1925,1,6,2008
499,1967,2004,0,0,1,0,3,1,5,0,1967,1,6,2009
500,1958,1985,0,1,1,0,2,1,5,0,1958,1,6,2007
501,1973,1973,0,0,1,1,3,1,7,0,1973,1,5,2007
502,2005,2005,0,0,2,1,3,1,7,0,2005,2,2,2008
503,1965,1965,1,0,1,0,2,1,6,0,1965,2,4,2007
504,1959,1997,1,0,2,0,1,1,6,2,1959,2,3,2010
505,1974,1974,0,1,2,1,3,1,6,1,1974,2,6,2009
506,1952,1952,0,0,2,0,4,2,10,0,1952,2,7,2009
507,1993,1994,0,0,2,1,3,1,8,1,1993,2,9,2006
508,2009,2009,0,0,2,0,2,1,4,0,2009,2,9,2009
509,1928,2005,0,0,2,0,3,1,7,1,1928,2,10,2008
510,1959,1959,1,0,1,0,3,1,6,0,1959,1,7,2009
511,1951,2000,1,0,1,0,2,1,6,2,1951,1,6,2009
512,2005,2006,0,0,2,0,2,1,6,1,2005,2,3,2006
513,1958,1958,1,0,1,0,3,1,5,0,1964,2,7,2006
514,1983,1983,0,0,1,1,3,1,5,0,1983,2,6,2007
515,1926,1950,0,0,1,0,2,1,5,0,1926,1,6,2007
516,2009,2009,1,0,2,1,3,1,9,1,2009,3,9,2009
517,1972,1972,0,0,2,1,3,1,7,1,1972,2,8,2009
518,1996,1997,0,0,2,1,3,1,7,1,1996,3,7,2009
519,1998,1998,1,0,2,1,3,1,7,0,1998,2,5,2007
520,1926,2004,0,0,1,1,3,1,9,2,1926,1,6,2009
521,1900,2000,0,0,2,0,3,2,7,0,NA,0,8,2008
522,1957,1957,0,0,1,1,3,1,6,2,1957,1,5,2007
523,1947,1950,0,0,2,0,3,1,7,2,1950,2,10,2006
524,2007,2008,1,0,3,1,3,1,11,1,2007,3,10,2007
525,1996,1997,1,0,2,1,3,1,8,1,1996,3,8,2007
526,2005,2005,0,0,2,0,3,1,6,1,2005,2,4,2006
527,1956,2000,0,0,1,0,2,1,4,0,1956,1,6,2007
528,2008,2008,1,0,2,1,3,1,11,1,2008,3,11,2008
529,1920,2002,1,0,1,0,2,1,5,0,NA,0,7,2007
530,1957,1975,1,0,3,0,4,2,9,2,1975,2,3,2007
531,1988,1989,1,0,2,0,3,1,5,1,1988,2,8,2008
532,1920,1999,0,0,2,0,3,1,6,0,1920,2,6,2008
533,1955,2007,0,0,1,0,2,1,5,1,1967,1,4,2010
534,1946,1950,0,0,1,0,1,1,2,0,NA,0,1,2007
535,2004,2004,0,0,2,1,3,1,6,1,2004,2,10,2006
536,1910,1991,1,0,1,0,3,1,5,0,NA,0,1,2008
537,1998,1999,0,0,2,1,3,1,8,0,1998,2,7,2008
538,1972,1972,0,0,1,0,3,1,5,0,1980,2,4,2008
539,1968,1968,0,0,1,1,3,1,7,1,1968,1,7,2006
540,2001,2002,1,0,2,0,3,1,6,1,2001,2,5,2010
541,2006,2006,1,0,2,0,2,1,8,1,2006,3,3,2009
542,2000,2000,0,0,2,1,4,1,8,1,2000,3,6,2007
543,1998,1999,1,0,2,0,3,1,7,1,1998,2,6,2009
544,1998,1998,1,0,1,0,1,1,4,0,1998,1,6,2007
545,2006,2006,1,0,2,1,3,1,7,1,2006,2,9,2006
546,1988,1988,0,0,2,1,4,1,9,0,1988,3,2,2006
547,1923,1950,0,0,1,1,3,1,6,1,1950,2,5,2007
548,1970,1970,1,0,1,0,2,1,5,0,1987,2,4,2007
549,1955,1995,1,0,1,0,2,1,4,0,1963,2,6,2008
550,2003,2004,0,0,2,1,4,1,8,1,2003,2,11,2009
551,1977,1977,0,0,2,0,2,1,4,0,1977,2,10,2008
552,1957,1957,0,0,1,0,3,1,5,0,1957,1,6,2008
553,2006,2006,0,0,2,0,3,1,7,1,2006,3,7,2009
554,1949,2003,0,0,2,0,2,1,5,0,2002,2,5,2009
555,2003,2004,1,0,2,1,3,1,8,1,2003,3,8,2008
556,1922,1950,0,0,1,0,2,1,5,1,1922,1,8,2006
557,1957,1957,1,0,1,0,2,1,6,1,1957,1,5,2006
558,1920,1950,0,0,1,1,3,1,7,0,1994,1,9,2006
559,1996,1997,0,1,2,1,3,1,6,1,1996,2,8,2008
560,2003,2004,0,0,2,0,2,1,7,1,2003,2,10,2006
561,1957,1996,1,0,1,1,3,1,5,1,1957,2,5,2010
562,1974,1975,1,0,1,0,2,1,6,1,1975,2,4,2006
563,1940,1969,1,0,1,0,3,1,6,1,NA,0,7,2008
564,1918,1950,0,0,2,0,4,1,8,1,1955,2,7,2008
565,1992,2000,1,0,2,1,4,1,9,1,1992,2,7,2006
566,1915,1950,1,0,1,1,4,1,6,0,1920,1,5,2010
567,2005,2007,0,0,2,1,4,1,11,1,2005,3,6,2008
568,2004,2004,0,0,2,0,3,1,7,0,2004,2,3,2010
569,1983,2009,1,0,1,1,1,1,5,1,1983,2,9,2009
570,1979,1979,1,0,1,0,2,1,4,2,1979,2,12,2006
571,1965,1965,0,0,2,0,6,2,10,0,1987,2,11,2008
572,1959,1959,1,0,1,0,2,1,4,0,1959,1,10,2006
573,2009,2009,0,0,2,1,3,1,6,0,2009,2,7,2009
574,2000,2000,0,0,2,1,3,1,8,1,2000,2,12,2007
575,1971,2005,0,1,1,0,3,1,5,0,1971,1,12,2007
576,1947,1950,0,0,1,0,2,1,6,0,1947,1,10,2008
577,1928,1950,0,1,2,0,3,1,6,1,1928,1,8,2009
578,1966,1966,1,0,1,0,3,1,6,2,1966,2,5,2006
579,2007,2007,0,0,2,0,2,1,5,0,2007,2,2,2008
580,1954,1954,0,0,2,0,4,1,7,0,1954,1,11,2008
581,1960,1987,0,1,1,0,3,1,7,2,1960,2,6,2007
582,2008,2009,0,0,2,1,3,1,8,1,2009,3,8,2009
583,1990,1990,1,0,1,0,3,1,5,0,NA,0,5,2007
584,1893,2000,0,0,3,1,3,1,9,1,1988,2,7,2008
585,1935,1995,0,0,1,0,3,1,6,0,1935,1,7,2009
586,2005,2006,1,0,2,0,2,1,7,2,2005,3,3,2006
587,1918,2000,1,0,1,0,2,1,5,0,1961,1,5,2008
588,1982,1982,1,0,1,0,2,1,4,0,1996,2,7,2009
589,1968,2003,2,0,1,0,1,1,5,2,1968,1,6,2009
590,1930,1960,0,0,1,0,2,1,4,0,1988,1,8,2008
591,2004,2004,0,0,2,1,3,1,6,0,2004,2,9,2008
592,2008,2008,1,0,2,1,3,1,10,1,2008,3,6,2009
593,1982,2003,1,0,1,0,2,1,4,0,1985,2,6,2008
594,2003,2003,1,0,1,0,1,1,4,0,2003,2,5,2009
595,1975,1975,0,0,1,0,3,1,5,0,1981,1,4,2008
596,2005,2006,1,0,2,0,3,1,7,1,2005,3,8,2006
597,1910,1993,0,0,1,0,3,1,7,0,1930,1,10,2006
598,2006,2007,0,2,0,2,2,1,7,1,2006,3,2,2007
599,1977,1977,1,0,2,0,3,1,7,1,1977,2,3,2006
600,1980,1980,1,0,2,1,3,1,6,1,1980,2,7,2008
601,2005,2005,1,0,2,1,3,1,8,1,2003,2,6,2006
602,1937,1950,0,0,1,1,3,1,6,1,1979,1,12,2007
603,1992,1992,1,0,2,1,3,1,8,1,1992,2,2,2006
604,2004,2005,0,0,2,1,2,1,4,0,2004,2,6,2010
605,2002,2002,1,0,2,0,3,1,6,1,2002,2,9,2008
606,1965,1990,0,0,2,1,3,1,7,3,1965,2,10,2009
607,1996,1996,1,0,1,0,3,1,6,0,2000,2,11,2009
608,1948,2002,1,0,3,0,3,1,8,0,1948,1,8,2006
609,1934,1998,0,0,2,1,4,1,10,2,1934,2,9,2007
610,1961,1961,1,0,1,0,3,1,5,0,1961,1,4,2007
611,2000,2000,1,0,2,1,3,1,8,2,2000,3,5,2009
612,1978,1978,0,1,2,0,3,1,6,1,1978,2,7,2007
613,2001,2001,1,0,2,1,3,1,7,1,2001,2,11,2009
614,2007,2007,0,0,1,0,3,1,6,0,NA,0,12,2007
615,1972,1972,1,0,1,0,1,1,3,0,NA,0,5,2010
616,1963,1963,1,0,1,0,3,1,6,0,1963,2,5,2010
617,2002,2003,1,0,2,1,3,1,7,1,2002,2,6,2006
618,1954,1954,0,0,1,0,2,1,4,0,1962,2,6,2008
619,2007,2007,0,0,2,0,3,1,9,1,2007,3,7,2007
620,2003,2003,1,0,2,1,4,1,10,2,2003,3,8,2008
621,1914,1950,1,0,1,0,2,1,5,0,NA,0,9,2008
622,1974,1997,0,0,2,1,4,1,9,1,1974,2,6,2008
623,1977,1977,0,0,1,0,3,1,6,0,1986,2,7,2009
624,2000,2000,0,0,2,1,2,1,4,1,2000,2,6,2007
625,1972,1972,1,0,1,2,4,1,8,1,1972,2,11,2006
626,1962,1962,0,0,1,1,3,1,5,0,1962,2,2,2010
627,1960,1978,0,0,1,0,3,1,6,1,1960,1,8,2007
628,1955,1972,1,0,1,0,3,1,7,2,1955,1,3,2010
629,1969,1969,0,1,1,2,5,1,9,2,1969,2,9,2007
630,1964,1964,1,0,1,1,3,1,6,0,1964,2,6,2008
631,1880,1991,0,0,1,0,3,1,8,0,1937,1,6,2006
632,2006,2006,0,0,2,0,2,1,6,1,2006,2,8,2007
633,1977,1977,0,0,2,0,3,1,6,1,1977,2,4,2009
634,1954,2005,0,1,1,0,3,1,6,0,1954,1,7,2007
635,1980,1980,2,0,0,0,0,2,4,0,1980,2,6,2010
636,1914,1995,0,0,2,0,8,2,14,0,NA,0,3,2007
637,1936,1950,0,0,1,0,1,1,4,1,NA,0,1,2009
638,1954,1954,0,0,2,0,3,2,7,0,1954,1,11,2009
639,1910,1950,0,0,1,0,2,1,4,0,NA,0,5,2008
640,2006,2006,1,0,2,0,1,1,7,1,2006,3,10,2006
641,2003,2004,0,0,1,1,1,1,6,1,2003,2,4,2008
642,2001,2001,1,0,2,1,3,1,7,1,2001,2,5,2007
643,1972,1995,1,0,2,1,4,1,9,3,1972,2,7,2009
644,1969,1969,0,0,2,1,4,1,7,0,1969,2,4,2007
645,2009,2009,1,0,2,1,2,1,7,1,2009,3,10,2009
646,1971,1971,1,0,1,1,3,1,5,0,1979,2,3,2007
647,1950,1950,0,0,1,0,3,1,7,0,1950,2,7,2008
648,1953,1953,0,0,1,0,3,1,5,2,1953,2,6,2008
649,1966,1966,0,0,1,1,4,1,7,1,1966,2,6,2010
650,1970,1970,1,0,1,0,1,1,3,0,NA,0,12,2007
651,2007,2007,0,0,2,1,3,1,7,0,2007,2,5,2008
652,1940,1950,1,0,1,0,4,1,7,1,1940,1,10,2009
653,1996,1996,0,0,2,1,2,1,7,1,1996,2,7,2009
654,1906,1995,0,0,1,0,3,1,7,0,1906,1,6,2008
655,1995,1995,1,0,2,1,2,1,7,1,1995,3,8,2008
656,1971,1971,0,0,1,1,3,1,6,0,1971,1,3,2010
657,1959,2006,1,0,1,1,3,1,5,0,1959,1,8,2008
658,1931,2000,0,0,1,1,3,1,6,1,1931,1,2,2008
659,1948,1950,0,1,1,0,3,1,6,1,1948,1,1,2010
660,1964,1999,1,0,1,0,3,1,7,0,1968,2,3,2009
661,1976,1976,0,0,2,1,3,1,7,1,1976,2,11,2007
662,1994,2005,1,0,2,1,4,1,8,1,1994,3,7,2009
663,1968,1968,1,0,1,0,2,1,5,2,1968,2,7,2009
664,1972,1972,1,0,2,0,3,1,6,0,1974,2,4,2008
665,2005,2006,1,0,1,1,1,1,8,1,2005,3,1,2006
666,2000,2000,0,0,2,1,3,1,7,1,2000,2,11,2006
667,1965,1979,0,0,2,1,3,1,7,1,1965,2,8,2007
668,1994,1998,1,0,2,0,3,1,7,1,1994,2,10,2008
669,1956,1987,1,0,1,1,3,1,6,1,1999,2,11,2006
670,1922,1950,0,0,1,0,2,1,5,1,1922,1,7,2006
671,2005,2005,1,0,2,1,3,1,7,0,2005,2,2,2009
672,1925,1950,1,0,2,0,3,1,6,0,1930,1,7,2009
673,1977,1977,1,0,1,1,3,1,6,1,1977,2,6,2006
674,1957,2004,1,0,2,0,3,1,7,2,1957,2,6,2007
675,1965,1965,1,0,1,0,3,1,5,1,1965,1,7,2008
676,1978,1978,0,0,2,1,3,1,7,1,1978,2,4,2009
677,1900,1950,1,0,2,0,4,2,8,0,1920,3,5,2006
678,1924,2006,0,0,1,0,2,1,5,0,1924,1,5,2009
679,2008,2008,0,0,2,1,3,1,7,1,2008,3,7,2009
680,1961,1961,1,0,1,0,3,1,5,0,1963,2,10,2007
681,1980,1980,0,0,2,0,2,1,5,1,1980,1,5,2010
682,1932,2000,0,0,1,0,3,1,6,0,1968,1,7,2009
683,1996,1997,1,0,1,0,2,1,6,1,1996,2,11,2008
684,2002,2002,1,0,2,0,3,1,7,1,2002,3,7,2007
685,1998,1998,0,0,2,1,4,1,7,0,1998,2,6,2010
686,1984,1984,1,0,2,0,3,1,6,1,1984,2,9,2007
687,2007,2007,0,0,3,0,3,1,7,0,2007,2,8,2007
688,2004,2004,0,0,2,1,2,1,4,0,2004,2,3,2007
689,2007,2007,1,0,2,0,2,1,7,1,2007,2,10,2007
690,2005,2006,0,0,2,0,2,1,6,1,2005,2,6,2007
691,2004,2004,1,0,1,0,1,1,3,1,2004,2,5,2008
692,1994,1995,0,1,3,1,4,1,10,2,1994,3,1,2007
693,1989,1990,1,0,2,1,4,1,9,2,1989,2,4,2006
694,1921,1968,0,0,1,0,2,1,4,0,1968,1,12,2006
695,1936,1950,0,0,1,1,3,1,5,0,1995,2,4,2009
696,1987,1987,1,0,2,0,2,1,5,1,1987,2,7,2006
697,1921,1950,0,0,1,0,2,1,4,0,1921,1,6,2006
698,1952,1952,0,1,1,0,2,1,6,0,1952,1,9,2006
699,1965,2009,1,0,1,0,3,1,5,1,1973,1,4,2010
700,2004,2004,0,0,2,0,2,1,5,0,2004,2,7,2008
701,2002,2002,1,0,2,0,3,1,7,1,2002,3,5,2006
702,1969,1969,0,0,1,1,3,1,6,0,1969,2,7,2006
703,2006,2006,0,0,2,1,4,1,10,1,2006,3,7,2006
704,1900,1996,0,0,2,0,4,2,8,1,1999,2,5,2010
705,2004,2005,1,0,2,0,3,1,7,0,2004,2,5,2010
706,1930,1950,0,0,2,0,3,2,7,0,NA,0,7,2010
707,1971,2002,1,0,2,0,2,1,5,2,1971,2,6,2007
708,2006,2006,1,0,2,0,2,1,6,1,2006,2,12,2009
709,2007,2007,0,0,2,1,3,1,8,1,2007,2,7,2007
710,1966,1966,0,0,1,0,3,1,6,0,1966,1,12,2008
711,1935,2003,0,0,1,0,2,1,5,0,NA,0,7,2008
712,1900,1950,0,0,1,0,2,1,7,0,1964,1,1,2010
713,1988,1989,1,0,2,0,2,1,5,1,1988,2,10,2008
714,1970,1970,1,0,1,0,3,1,6,0,1970,2,5,2006
715,1976,2005,0,0,2,1,3,1,6,0,1976,2,3,2010
716,1974,1974,0,0,2,0,3,1,7,1,1974,2,8,2009
717,1890,1998,0,0,1,1,3,1,8,0,1996,2,7,2007
718,1973,2000,0,1,1,1,3,1,5,1,1973,2,11,2008
719,1993,1994,1,0,2,1,3,1,9,1,1993,3,8,2008
720,1969,1969,0,0,1,1,3,1,5,1,1969,1,5,2006
721,1985,1985,1,0,2,0,2,1,5,1,1985,2,12,2006
722,2004,2004,1,0,1,0,1,1,3,0,2004,2,5,2010
723,1970,1970,0,0,1,0,3,1,5,0,1994,2,7,2009
724,1954,1972,0,0,2,0,4,1,7,0,1958,1,5,2008
725,2007,2008,1,0,2,0,3,1,8,1,2007,3,2,2009
726,1970,1970,0,0,1,0,3,1,5,0,1989,2,11,2009
727,1988,2007,1,0,2,0,3,1,5,1,1988,2,12,2009
728,2007,2007,1,0,2,0,2,1,6,0,2007,2,2,2009
729,1958,1958,1,0,2,0,4,2,9,0,1968,3,7,2009
730,1925,1950,0,0,1,0,2,1,5,0,1962,2,1,2009
731,1995,1996,1,0,2,0,2,1,5,1,1995,2,3,2010
732,2003,2003,1,0,2,0,3,1,6,1,2003,2,5,2007
733,1998,1999,0,0,2,1,3,1,8,1,1998,2,7,2008
734,1961,1983,1,0,1,0,3,1,6,1,1961,1,3,2009
735,1968,1968,0,0,1,0,3,1,6,0,1968,1,5,2007
736,1914,1970,0,0,1,1,2,1,6,2,1914,2,10,2006
737,1950,1950,0,0,2,0,2,2,6,0,1949,2,7,2006
738,2005,2005,0,0,2,1,3,1,8,1,2005,3,6,2006
739,1987,1988,3,0,3,0,3,1,5,0,NA,0,3,2009
740,2004,2004,0,0,2,1,3,1,7,0,2004,2,4,2009
741,1910,2002,0,0,2,0,2,1,7,0,1910,2,5,2007
742,1961,1996,1,1,1,0,3,1,5,0,1962,1,5,2008
743,2000,2001,0,0,2,0,3,1,6,0,2000,2,12,2007
744,1963,1999,0,1,2,0,3,1,6,1,1997,2,10,2009
745,1993,1993,1,0,2,0,2,1,5,1,1993,2,10,2008
746,1976,1996,0,1,3,1,4,1,11,2,1994,2,7,2008
747,2000,2000,0,0,2,1,4,1,8,1,2000,2,4,2009
748,1880,2003,0,0,1,1,4,1,8,1,1950,4,5,2009
749,1996,1996,1,0,2,0,3,1,7,1,1996,2,3,2010
750,1945,1950,0,0,2,0,4,1,9,0,1945,1,4,2009
751,1910,2004,0,0,1,0,3,1,7,0,NA,0,6,2010
752,2003,2003,0,0,2,1,3,1,6,0,2003,2,8,2007
753,1997,1997,1,0,2,0,3,1,6,0,1997,2,7,2006
754,2005,2005,0,0,2,1,3,1,8,1,2005,3,3,2006
755,1969,2005,1,0,1,0,3,1,5,0,1969,2,7,2009
756,1999,1999,0,0,2,1,3,1,6,0,1999,2,3,2009
757,2007,2007,0,0,2,1,3,1,7,0,2007,2,4,2009
758,1978,1978,0,0,2,1,3,1,6,1,1978,2,4,2010
759,1999,1999,0,0,2,1,3,1,6,0,1999,2,8,2008
760,1995,1995,0,0,2,1,4,1,9,1,1995,3,11,2007
761,1959,1959,0,0,1,0,2,1,5,0,2008,1,10,2009
762,1924,1950,0,0,1,0,2,1,5,0,1965,2,10,2009
763,2009,2009,0,0,2,1,3,1,7,0,2009,2,6,2010
764,1999,1999,1,0,2,1,3,1,8,1,1999,3,7,2009
765,1995,1996,1,0,1,1,2,1,6,1,1995,2,4,2006
766,2008,2008,0,0,2,0,2,1,6,1,2008,2,8,2008
767,1988,1988,0,0,2,1,3,1,7,1,1988,2,3,2010
768,1940,1985,1,0,2,0,4,1,7,0,1989,1,7,2008
769,2004,2005,0,0,2,0,3,1,8,1,2004,2,10,2006
770,2003,2003,1,0,3,1,4,1,12,1,2003,3,6,2010
771,1982,1982,1,0,1,0,2,1,5,0,1983,2,4,2009
772,1951,1951,0,0,1,0,2,1,6,0,1951,2,4,2006
773,1976,1976,1,0,1,0,3,1,6,1,1976,2,3,2010
774,1958,1958,0,0,1,0,2,1,5,0,1958,1,7,2007
775,2006,2006,0,0,2,0,3,1,9,1,2006,3,7,2007
776,1998,1998,1,0,2,0,2,1,5,0,1998,2,6,2009
777,2005,2006,0,0,2,0,3,1,7,0,2005,3,7,2006
778,1974,1974,1,0,1,0,3,1,5,1,1974,2,6,2006
779,1977,1977,0,0,2,0,4,2,10,2,1977,2,10,2007
780,1977,1977,1,0,1,0,2,1,4,0,1977,2,5,2006
781,1995,1996,0,0,2,0,3,1,6,1,1995,2,6,2007
782,1992,1992,0,0,2,1,3,1,7,0,1992,2,7,2006
783,2001,2002,0,0,2,0,3,1,6,0,2001,2,6,2009
784,1978,1978,1,0,1,0,1,1,4,1,1978,2,7,2009
785,1914,2001,0,0,2,0,3,1,9,1,NA,0,6,2008
786,1967,1967,0,0,2,0,3,1,7,1,1967,2,9,2009
787,1915,1950,1,0,2,0,4,1,7,0,1961,1,6,2010
788,2004,2004,1,0,2,1,4,1,8,0,2004,2,1,2010
789,1954,2000,0,0,1,0,2,1,4,0,1954,1,8,2008
790,1966,2007,0,0,2,1,5,1,9,0,1966,2,7,2007
791,2005,2006,0,0,2,0,2,1,5,1,2005,2,9,2009
792,1976,1976,1,0,1,0,3,1,5,2,1976,2,5,2007
793,1996,1997,1,0,2,1,3,1,8,1,1997,2,6,2007
794,2007,2007,0,0,2,0,3,1,7,0,2007,2,6,2007
795,1994,1996,0,0,2,1,3,1,7,1,1994,2,10,2008
796,1980,1981,0,0,2,1,3,1,7,1,1980,2,4,2010
797,1977,1977,0,0,1,1,3,1,7,1,1977,2,4,2007
798,1953,1953,0,0,1,0,2,1,4,0,1953,1,4,2008
799,2008,2009,0,0,3,1,4,1,11,2,2009,3,7,2009
800,1937,1950,1,0,1,1,3,1,7,2,1939,1,6,2007
801,1997,1997,1,0,2,1,4,1,8,0,1997,2,5,2008
802,1916,1990,1,0,1,0,2,1,5,0,1957,2,7,2007
803,2005,2005,1,0,2,1,3,1,7,1,2005,2,10,2008
804,2008,2009,0,0,3,1,4,1,12,1,2009,3,1,2009
805,1954,1954,0,0,1,0,2,1,5,0,1954,1,6,2006
806,2008,2008,0,0,2,0,3,1,6,0,2008,2,7,2008
807,1967,1967,0,0,2,0,3,1,6,0,1967,1,10,2006
808,1923,2004,2,0,1,1,3,1,6,1,1923,2,5,2009
809,1966,1966,1,0,1,0,3,1,6,1,1966,2,6,2006
810,1898,1965,0,0,2,0,2,3,11,0,1910,2,11,2009
811,1974,1999,1,0,1,1,3,1,5,1,1974,2,1,2006
812,2004,2004,1,0,1,0,1,1,4,1,2004,2,6,2008
813,1952,1952,0,0,1,0,2,1,4,0,1952,2,6,2010
